"date","value"
19.01.04,3.459
20.01.04,3.4606
21.01.04,3.466
22.01.04,3.474
23.01.04,3.4711
26.01.04,3.474
27.01.04,3.4845
28.01.04,3.4888
29.01.04,3.5035
30.01.04,3.4987
02.02.04,3.5015
03.02.04,3.4965
04.02.04,3.489
05.02.04,3.4931
06.02.04,3.492
09.02.04,3.4896
10.02.04,3.4835
11.02.04,3.4867
12.02.04,3.489
13.02.04,3.4898
16.02.04,3.478
17.02.04,3.4752
18.02.04,3.4705
19.02.04,3.4741
20.02.04,3.4748
23.02.04,3.4746
24.02.04,3.4728
25.02.04,3.4738
26.02.04,3.4732
27.02.04,3.4726
01.03.04,3.4719
02.03.04,3.4745
03.03.04,3.4748
04.03.04,3.4747
05.03.04,3.4735
08.03.04,3.467
09.03.04,3.4656
10.03.04,3.465
11.03.04,3.462
12.03.04,3.461
15.03.04,3.461
16.03.04,3.464
17.03.04,3.466
18.03.04,3.463
19.03.04,3.459
22.03.04,3.458
23.03.04,3.456
24.03.04,3.46
25.03.04,3.46
26.03.04,3.461
29.03.04,3.459
30.03.04,3.46
31.03.04,3.459
01.04.04,3.458
02.04.04,3.456
05.04.04,3.457
06.04.04,3.459
07.04.04,3.463
08.04.04,n.d.
09.04.04,n.d.
12.04.04,3.462
13.04.04,3.464
14.04.04,3.467
15.04.04,3.464
16.04.04,3.466
19.04.04,3.467
20.04.04,3.468
21.04.04,3.472
22.04.04,3.474
23.04.04,3.479
26.04.04,3.484
27.04.04,3.478
28.04.04,3.491
29.04.04,3.481
30.04.04,3.483
03.05.04,3.486
04.05.04,3.483
05.05.04,3.478
06.05.04,3.484
07.05.04,3.486
10.05.04,3.492
11.05.04,3.486
12.05.04,3.488
13.05.04,3.485
14.05.04,3.483
17.05.04,3.483
18.05.04,3.484
19.05.04,3.486
20.05.04,3.49
21.05.04,3.492
24.05.04,3.492
25.05.04,3.491
26.05.04,3.49
27.05.04,3.487
28.05.04,3.487
31.05.04,3.487
01.06.04,3.488
02.06.04,3.485
03.06.04,3.488
04.06.04,3.484
07.06.04,3.482
08.06.04,3.474
09.06.04,3.477
10.06.04,3.476
11.06.04,3.479
14.06.04,3.481
15.06.04,3.475
16.06.04,3.476
17.06.04,3.472
18.06.04,3.471
21.06.04,3.472
22.06.04,3.467
23.06.04,3.469
24.06.04,3.467
25.06.04,3.469
28.06.04,3.471
29.06.04,n.d.
30.06.04,3.467
01.07.04,3.468
02.07.04,3.468
05.07.04,3.468
06.07.04,3.465
07.07.04,3.461
08.07.04,3.456
09.07.04,3.45
12.07.04,3.437
13.07.04,3.437
14.07.04,3.438
15.07.04,3.436
16.07.04,3.426
19.07.04,3.422
20.07.04,3.423
21.07.04,3.425
22.07.04,3.421
23.07.04,3.417
26.07.04,3.425
27.07.04,3.422
28.07.04,n.d.
29.07.04,n.d.
30.07.04,3.417
02.08.04,3.408
03.08.04,3.417
04.08.04,3.419
05.08.04,3.413
06.08.04,3.407
09.08.04,3.41
10.08.04,3.407
11.08.04,3.407
12.08.04,3.408
13.08.04,3.408
16.08.04,3.408
17.08.04,3.402
18.08.04,3.377
19.08.04,3.377
20.08.04,3.38
23.08.04,3.38
24.08.04,3.379
25.08.04,3.376
26.08.04,3.361
27.08.04,3.36
30.08.04,n.d.
31.08.04,3.367
01.09.04,3.371
02.09.04,3.374
03.09.04,3.39
06.09.04,3.376
07.09.04,3.369
08.09.04,3.365
09.09.04,3.368
10.09.04,3.364
13.09.04,3.354
14.09.04,3.348
15.09.04,3.348
16.09.04,3.348
17.09.04,3.35
20.09.04,3.349
21.09.04,3.353
22.09.04,3.35
23.09.04,3.345
24.09.04,3.349
27.09.04,3.35
28.09.04,3.346
29.09.04,3.34
30.09.04,3.339
01.10.04,3.333
04.10.04,3.335
05.10.04,3.334
06.10.04,3.33
07.10.04,3.325
08.10.04,n.d.
11.10.04,3.308
12.10.04,3.308
13.10.04,3.321
14.10.04,3.329
15.10.04,3.314
18.10.04,3.313
19.10.04,3.315
20.10.04,3.315
21.10.04,3.311
22.10.04,3.311
25.10.04,3.318
26.10.04,3.323
27.10.04,3.317
28.10.04,3.325
29.10.04,3.324
01.11.04,n.d.
02.11.04,3.318
03.11.04,3.315
04.11.04,3.312
05.11.04,3.312
08.11.04,3.313
09.11.04,3.306
10.11.04,3.309
11.11.04,3.309
12.11.04,3.302
15.11.04,3.303
16.11.04,3.303
17.11.04,3.306
18.11.04,3.309
19.11.04,3.315
22.11.04,3.313
23.11.04,3.312
24.11.04,3.309
25.11.04,3.306
26.11.04,3.304
29.11.04,3.303
30.11.04,3.304
01.12.04,3.302
02.12.04,3.301
03.12.04,3.298
06.12.04,3.298
07.12.04,3.298
08.12.04,n.d.
09.12.04,3.296
10.12.04,3.29
13.12.04,3.276
14.12.04,3.27
15.12.04,3.266
16.12.04,3.267
17.12.04,3.269
20.12.04,3.264
21.12.04,3.264
22.12.04,3.267
23.12.04,3.268
24.12.04,n.d.
27.12.04,3.271
28.12.04,3.284
29.12.04,3.277
30.12.04,3.284
31.12.04,3.271
03.01.05,3.281
04.01.05,3.275
05.01.05,3.274
06.01.05,3.274
07.01.05,3.274
10.01.05,3.272
11.01.05,3.267
12.01.05,3.265
13.01.05,3.263
14.01.05,3.262
17.01.05,3.262
18.01.05,3.266
19.01.05,3.268
20.01.05,3.266
21.01.05,3.268
24.01.05,3.268
25.01.05,3.265
26.01.05,3.26
27.01.05,3.259
28.01.05,3.259
31.01.05,3.265
01.02.05,3.259
02.02.05,3.259
03.02.05,3.259
04.02.05,3.258
07.02.05,3.263
08.02.05,3.258
09.02.05,3.258
10.02.05,3.258
11.02.05,3.258
14.02.05,3.258
15.02.05,3.259
16.02.05,3.258
17.02.05,3.258
18.02.05,3.258
21.02.05,3.257
22.02.05,3.257
23.02.05,3.255
24.02.05,3.256
25.02.05,3.256
28.02.05,3.256
01.03.05,3.259
02.03.05,3.261
03.03.05,3.261
04.03.05,3.259
07.03.05,3.258
08.03.05,3.257
09.03.05,3.258
10.03.05,3.257
11.03.05,3.256
14.03.05,3.254
15.03.05,3.258
16.03.05,3.258
17.03.05,3.259
18.03.05,3.259
21.03.05,3.259
22.03.05,3.259
23.03.05,3.259
24.03.05,n.d.
25.03.05,n.d.
